keys,en,pl
NO_GEARS_LEFT,No gears left!,Brak kół zębatych!
NO_SPACE,No space for a gear here!,Brak miejsca na koło tutaj!
OCCUPIED_MOTOR,Space occupied by motor!,Miejsce zajęte przez silnik!
OCCUPIED_TARGET,Space occupied by target!,Miejsce zajęte przez cel!
BIG_NO_MOTOR,Big gear can't connect to motor!,Duże koło nie może połączyć się z silnikiem!
BIG_NO_TARGET,Big gear can't connect to target!,Duże koło nie może połączyć się z celem!
INCOMPATIBLE,These gears are incompatible!,Te koła są niekompatybilne!
ACH_FIRST_LEVEL,First Step,Pierwszy Krok
ACH_NO_REMOVE,Clean Work,Czysta Robota
ACH_SPEED_RUN,Lightning,Błyskawica
ACH_GAME_COMPLETE,Conqueror,Zdobywca
ACH_ALL_GEARS,No Leftovers,Bez Reszty
ACH_FIVE_STARS,Perfectionist,Perfekcjonista
ACH_ALL_STARS,Absolute,Absolut
ACH_PERSISTENT,Persistence,Wytrwałość
ACH_CHAIN_MASTER,Chain Master,Mistrz Łańcucha
TIME_LABEL,Time:,Czas:
MOVES_LABEL,Moves:,Ruchy:
FILL_FIELDS,Fill in all fields!,Wypełnij wszystkie pola!
WRONG_PASSWORD,Wrong login or password!,Nieprawidłowy login lub hasło!
USER_EXISTS,This user already exists!,Ten użytkownik już istnieje!
LEVEL_SELECT,Level Select,Wybór Poziomu
SETTINGS,Settings,Ustawienia
ACHIEVEMENTS,Achievements,Osiągnięcia
T_ACHIEVEMENTS,keep playing to unlock all the achievements,"graj dalej, aby odblokować wszystkie osiągnięcia"
CH_LEVEL,Choose Level,Wybór poziomu
PAUSE,Pause,Pauza
BACK,Back to menu,Wróć do menu
MUSIC,Music,Muzyka
SFX,Sound Effects,Efekty Dźwiękowe
LANGUAGE,Language,Język
RESUME,Resume,Wznów
MENU,Menu,Menu
RESTART,Restart,Restart
L_SAVE,Load save,Wczytaj grę
LEVEL_NUM,Level,Poziom
ACH_NAME_FIRST_LEVEL,First Step,Pierwszy Krok
ACH_DESC_FIRST_LEVEL,Complete the first level,Ukończ pierwszy poziom
ACH_NAME_CHAIN_MASTER,Chain Master,Mistrz Łańcucha
ACH_DESC_CHAIN_MASTER,One gear drives 4+ others,Jedno koło napędza 4+ innych
ACH_NAME_NO_REMOVE,Clean Work,Czysta Robota
ACH_DESC_NO_REMOVE,Complete a level without removing gears,Ukończ poziom bez usuwania kół
ACH_NAME_SPEED_RUN,Lightning,Błyskawica
ACH_DESC_SPEED_RUN,Complete a level in under 15 seconds,Ukończ poziom w czasie krótszym niż 15 sekund
ACH_NAME_GAME_COMPLETE,Aegon Vēzemos,Aegon Vēzemos
ACH_DESC_GAME_COMPLETE,Complete the game,Ukończ grę
ACH_NAME_ALL_GEARS,No Leftovers,Bez Reszty
ACH_DESC_ALL_GEARS,Use all available gears,Użyj wszystkich dostępnych kół
ACH_NAME_FIVE_STARS,Perfectionist,Perfekcjonista
ACH_DESC_FIVE_STARS,Get 5 stars on any level,Zdobądź 5 gwiazdek na dowolnym poziomie
ACH_NAME_ALL_STARS,Absolute,Absolut
ACH_DESC_ALL_STARS,Collect all stars on all levels,Zbierz wszystkie gwiazdki na wszystkich poziomach
ACH_NAME_PERSISTENT,Persistence,Wytrwałość
ACH_DESC_PERSISTENT,Restart a level 3 times in a row,Uruchom poziom ponownie 3 razy z rzędu
TUT_SELECT_GEAR,Select a gear from the panel,Wybierz koło zębate z panelu
TUT_SELECT_AXIS,Click on an axis to select it,Kliknij na oś aby ją wybrać
TUT_PLACE_GEAR,Place the gear on the axis,Umieść koło na osi
TUT_CONNECT_MOTOR,Connect the gear to the motor,Połącz koło z silnikiem
TUT_ACTIVATE_TARGET,Make the target rotate to complete the level,Wpraw cel w ruch aby ukończyć
TUT_TIMER_MOVES,This is the timer and move counter. Complete the level faster and with fewer moves for more stars,To jest timer i licznik ruchów. Ukończ poziom szybciej i z mniejszą liczbą ruchów aby zdobyć więcej gwiazdek
TUT_MOTOR,This is the motor. It drives the gears,To jest silnik. Napędza koła zębate
TUT_TARGET,This is the target. Make it rotate to complete the level,To jest cel. Wpraw go w ruch aby ukończyć poziom
TEXT_SAVES,your results are stored here,twoje wyniki są tutaj przechowywane
NAME_SAVE,Saved results,Zapisane wyniki
WEAK_PASSWORD,Password must be at least 6 characters,Hasło musi mieć co najmniej 6 znaków 
EMAIL_IN_USE,This email is already registered,Ten email jest już zarejestrowany
 INVALID_EMAIL,Invalid email address,Nieprawidłowy adres email
 ONLINE_ACCOUNT_CREATED,Online account created,Konto online zostało utworzone
 SEARCHING_ONLINE,Searching for account...,Szukam konta...
RANKING,Player rankings,Rankingi graczy
RANKING_T,Keep playing to see yourself here,"Graj dalej, a może tu się znajdziesz"
